,Rank,Geographic Area,City,State,June2020,2020,2021,2022,long,lat
60,61,"Corpus Christi city, Texas",Corpus Christi,Texas,317863,318047,317828,316239,-97.4033191,27.7635302
61,62,"Orlando city, Florida",Orlando,Florida,307683,307733,309854,316081,-81.3790304,28.5421109
62,63,"Irvine city, California",Irvine,California,307665,308974,305096,313685,-117.8259819,33.6856969
63,64,"Cincinnati city, Ohio",Cincinnati,Ohio,309561,309574,308685,309513,-84.5124602,39.1014537
64,65,"Santa Ana city, California",Santa Ana,California,310555,309921,308771,308189,-117.8732213,33.7494951
65,66,"Newark city, New Jersey",Newark,New Jersey,311552,310613,307312,305344,-74.1723667,40.735657
66,67,"St. Paul city, Minnesota",St. Paul,Minnesota,311518,311130,307150,303176,-93.0931028,44.9497487
67,68,"Pittsburgh city, Pennsylvania",Pittsburgh,Pennsylvania,302958,302762,305441,302898,-79.9900861,40.4416941
68,69,"Greensboro city, North Carolina",Greensboro,North Carolina,299101,296916,299225,301115,-79.7919754,36.0726355
69,70,"Lincoln city, Nebraska",Lincoln,Nebraska,291105,291576,291476,292627,-96.7077751,40.8088861
70,71,"Durham city, North Carolina",Durham,North Carolina,283588,284362,289177,291928,-78.9018053,35.996653
71,72,"Plano city, Texas",Plano,Texas,285469,286388,288696,289547,-96.6925096,33.0136764
72,73,"Anchorage municipality, Alaska",Anchorage,Alaska,291244,290866,288702,287145,-149.894852,61.2163129
73,74,"Jersey City city, New Jersey",Jersey City,New Jersey,292754,291919,284642,286670,-74.047455,40.7215682
74,75,"St. Louis city, Missouri",St. Louis,Missouri,301574,300483,293562,286578,-90.1910154,38.6280278
75,76,"Chandler city, Arizona",Chandler,Arizona,276010,277327,279479,280711,-111.8411851,33.3062031
76,77,"North Las Vegas city, Nevada",North Las Vegas,Nevada,259520,261191,271124,280543,-115.121584,36.2005843
77,78,"Chula Vista city, California",Chula Vista,California,275500,276041,277008,279170,-117.0841955,32.6400541
78,79,"Buffalo city, New York",Buffalo,New York,278301,277620,277845,276486,-78.8783922,42.8867166
79,80,"Gilbert town, Arizona",Gilbert,Arizona,267932,269157,273205,275346,-111.789037,33.3527632
80,81,"Reno city, Nevada",Reno,Nevada,264147,264965,270025,273448,-119.8126581,39.5261206
81,82,"Madison city, Wisconsin",Madison,Wisconsin,269769,270313,267871,272903,-89.3837613,43.074761
82,83,"Fort Wayne city, Indiana",Fort Wayne,Indiana,263914,264361,266372,267927,-85.1386015,41.0799898
83,84,"Toledo city, Ohio",Toledo,Ohio,270880,270266,268744,266301,-83.5378173,41.6529143
84,85,"Lubbock city, Texas",Lubbock,Texas,257157,257974,261199,263930,-101.8470215,33.5855677
85,86,"St. Petersburg city, Florida",St. Petersburg,Florida,258356,258997,259083,261256,-82.6695085,27.7703796
86,87,"Laredo city, Texas",Laredo,Texas,255212,255479,255895,256187,-99.497352,27.5236998
87,88,"Irving city, Texas",Irving,Texas,256687,256866,254561,254715,-96.9442177,32.8295183
88,89,"Chesapeake city, Virginia",Chesapeake,Virginia,249415,249803,251739,252488,-76.2466798,36.7183708
89,90,"Glendale city, Arizona",Glendale,Arizona,248374,248904,249893,252136,-112.185994,33.5386858
90,91,"Winston-Salem city, North Carolina",Winston-Salem,North Carolina,249562,249793,250922,251350,-80.2440518,36.0998131
91,92,"Scottsdale city, Arizona",Scottsdale,Arizona,241339,241866,242780,243050,-111.926018,33.4942189
92,93,"Garland city, Texas",Garland,Texas,246001,245450,242189,240854,-96.6388833,32.912624
93,94,"Boise City city, Idaho",Boise City,Idaho,235712,236018,238021,236634,-116.200886,43.6166163
94,95,"Norfolk city, Virginia",Norfolk,Virginia,238001,237738,235025,232995,-76.2863999,36.8448348
95,96,"Port St. Lucie city, Florida",Port St. Lucie,Florida,204856,206808,217903,231790,-80.3503283,27.2939333
96,97,"Spokane city, Washington",Spokane,Washington,228978,229187,229674,230160,-117.42351,47.6571934
97,98,"Richmond city, Virginia",Richmond,Virginia,226618,227008,227602,229395,-77.43428,37.5385087
98,99,"Fremont city, California",Fremont,California,230493,230194,226532,223871,-121.988571,37.5482697
99,100,"Huntsville city, Alabama",Huntsville,Alabama,215052,216344,218672,221933,-86.5859011,34.729847
100,101,"Tacoma city, Washington",Tacoma,Washington,219175,219693,219593,221776,-122.438329,47.2455013
101,102,"Baton Rouge city, Louisiana",Baton Rouge,Louisiana,226916,226265,224076,221453,-91.1391153,30.4507936
102,103,"Santa Clarita city, California",Santa Clarita,California,228679,228065,224320,221345,-118.5538088,34.4127963
103,104,"San Bernardino city, California",San Bernardino,California,222068,222028,221242,220328,-117.28946,34.1081621
104,105,"Hialeah city, Florida",Hialeah,Florida,223123,222390,220980,220292,-80.2781057,25.8575963
105,106,"Frisco city, Texas",Frisco,Texas,200536,202742,211081,219587,-96.8236116,33.1506744
106,107,"Modesto city, California",Modesto,California,218467,218654,218948,218069,-120.9968782,37.6390972
107,108,"Cape Coral city, Florida",Cape Coral,Florida,193994,195408,203975,216992,-81.9806771,26.6059432
108,109,"Fontana city, California",Fontana,California,208387,208620,210540,212475,-117.435048,34.0922335
109,110,"Moreno Valley city, California",Moreno Valley,California,208640,209107,211564,211924,-117.2305944,33.937517
110,111,"Des Moines city, Iowa",Des Moines,Iowa,214125,213814,212538,211034,-93.6046655,41.5910323
111,112,"Rochester city, New York",Rochester,New York,211321,211167,211207,209352,-77.615214,43.157285
112,113,"Fayetteville city, North Carolina",Fayetteville,North Carolina,208470,208104,209669,208873,-78.878292,35.0525759
113,114,"Yonkers city, New York",Yonkers,New York,211585,210989,209942,208121,-73.8987469,40.9312099
114,115,"McKinney city, Texas",McKinney,Texas,195326,197474,203427,207507,-96.6154471,33.1976496
115,116,"Worcester city, Massachusetts",Worcester,Massachusetts,206519,205063,205660,205319,-71.8018877,42.2625621
116,117,"Salt Lake City city, Utah",Salt Lake City,Utah,199711,200658,201165,204657,-111.886797,40.7596198
117,118,"Little Rock city, Arkansas",Little Rock,Arkansas,202562,202622,202230,202864,-92.2896267,34.7465071
118,119,"Columbus city, Georgia",Columbus,Georgia,206922,206998,205024,202616,-84.9880449,32.4610708
119,120,"Augusta-Richmond County consolidated government (balance), Georgia",Augusta,Georgia,202080,202000,200838,202096,-81.9748429,33.4709714
120,121,"Sioux Falls city, South Dakota",Sioux Falls,South Dakota,192700,193409,196802,202078,-96.7307737,43.5488256
121,122,"Grand Prairie city, Texas",Grand Prairie,Texas,196138,196278,197427,201843,-96.9977846,32.7459645
122,123,"Tallahassee city, Florida",Tallahassee,Florida,196171,197926,200289,201731,-84.2809332,30.4380832
123,124,"Amarillo city, Texas",Amarillo,Texas,200377,200507,200852,201291,-101.833824,35.2072185
124,125,"Oxnard city, California",Oxnard,California,202067,202244,202054,200415,-119.1803818,34.1976308
125,126,"Peoria city, Arizona",Peoria,Arizona,190966,191961,194973,197866,-112.237294,33.5806115
126,127,"Overland Park city, Kansas",Overland Park,Kansas,197249,197722,197597,197726,-94.6851702,38.9742502
127,128,"Montgomery city, Alabama",Montgomery,Alabama,200586,200024,198469,196986,-86.3006485,32.3669656
128,129,"Birmingham city, Alabama",Birmingham,Alabama,200646,200329,197823,196910,-86.8024326,33.5206824
129,130,"Grand Rapids city, Michigan",Grand Rapids,Michigan,198893,198698,197751,196908,-85.6678639,42.9632405
130,131,"Knoxville city, Tennessee",Knoxville,Tennessee,190728,191478,193598,195889,-83.9210261,35.9603948
131,132,"Vancouver city, Washington",Vancouver,Washington,190888,191259,192759,194512,-122.6744557,45.6306954
132,133,"Huntington Beach city, California",Huntington Beach,California,198723,198410,196463,194310,-118.0000166,33.6783336
133,134,"Providence city, Rhode Island",Providence,Rhode Island,190932,190728,190081,189563,-71.4128343,41.8239891
134,135,"Brownsville city, Texas",Brownsville,Texas,186717,186990,187957,189382,-97.4890879,25.9140277
135,136,"Glendale city, California",Glendale,California,196534,195995,192272,189221,-118.2478471,34.1469416
136,137,"Akron city, Ohio",Akron,Ohio,190416,190130,188550,188509,-81.518485,41.083064
137,138,"Tempe city, Arizona",Tempe,Arizona,180576,181680,181040,185950,-111.9400164,33.4255117
138,139,"Newport News city, Virginia",Newport News,Virginia,186243,186033,184764,184306,-76.42977,36.9775016
139,140,"Chattanooga city, Tennessee",Chattanooga,Tennessee,181057,181560,181163,184086,-85.3094883,35.0457219
140,141,"Mobile city, Alabama",Mobile,Alabama,187048,186611,185017,183289,-88.0848929,30.6867339
141,142,"Fort Lauderdale city, Florida",Fort Lauderdale,Florida,182775,182880,182011,183146,-80.1433786,26.1223084
142,143,"Cary town, North Carolina",Cary,North Carolina,174763,175510,177463,180388,-78.7812081,35.7882893
143,144,"Shreveport city, Louisiana",Shreveport,Louisiana,187587,186827,183328,180153,-93.7559378,32.4707862
144,145,"Ontario city, California",Ontario,California,175266,175852,177845,179061,-117.6484304,34.065846
145,146,"Eugene city, Oregon",Eugene,Oregon,177195,177389,177953,177923,-123.0950506,44.0505054
146,147,"Aurora city, Illinois",Aurora,Illinois,180526,180197,179336,177866,-88.3147539,41.7571701
147,148,"Elk Grove city, California",Elk Grove,California,176141,176732,178283,177558,-121.3716178,38.4087993
148,149,"Salem city, Oregon",Salem,Oregon,175472,175931,178105,177487,-123.033121,44.9391565
149,150,"Santa Rosa city, California",Santa Rosa,California,178128,177835,177149,177181,-122.7141049,38.4404925
150,151,"Clarksville city, Tennessee",Clarksville,Tennessee,166739,167499,170912,176974,-87.3588703,36.5277607
151,152,"Rancho Cucamonga city, California",Rancho Cucamonga,California,174624,174571,175169,176336,-117.5751735,34.1033192
152,153,"Oceanside city, California",Oceanside,California,174048,173914,172919,172199,-117.3794834,33.1958696
153,154,"Springfield city, Missouri",Springfield,Missouri,169168,169164,169255,170067,-93.2946576,37.1968298
154,155,"Pembroke Pines city, Florida",Pembroke Pines,Florida,171182,171062,169635,169876,-80.223937,26.0031465
155,156,"Garden Grove city, California",Garden Grove,California,171973,171759,170511,169254,-117.9463717,33.7746292
156,157,"Fort Collins city, Colorado",Fort Collins,Colorado,169827,169979,169266,169249,-105.0668085,40.5508527
157,158,"Lancaster city, California",Lancaster,California,173511,173040,170074,169185,-118.1366153,34.6981064
158,159,"Palmdale city, California",Palmdale,California,169415,168863,165452,163463,-118.1171108,34.5793131
159,160,"Murfreesboro city, Tennessee",Murfreesboro,Tennessee,152775,153737,156675,162398,-86.3921096,35.8460396
160,161,"Salinas city, California",Salinas,California,163542,163296,163076,161020,-121.655037,36.6744117
161,162,"Corona city, California",Corona,California,157154,157549,159782,159567,-117.5664449,33.8752945
162,163,"Killeen city, Texas",Killeen,Texas,153143,153726,156959,159172,-97.727796,31.1171441
163,164,"Hayward city, California",Hayward,California,162948,162602,158445,156754,-122.080796,37.6688205
164,165,"Paterson city, New Jersey",Paterson,New Jersey,159759,159153,157905,156661,-74.171811,40.9167654
165,166,"Macon-Bibb County, Georgia",Macon,Georgia,157347,157025,155985,156197,-83.6324022,32.8406946
166,167,"Lakewood city, Colorado",Lakewood,Colorado,155975,156236,157109,156120,-105.0846694,39.7085736
167,168,"Alexandria city, Virginia",Alexandria,Virginia,159461,159125,155203,155525,-77.0470229,38.8051095
168,169,"Roseville city, California",Roseville,California,147796,148486,152095,154817,-121.2880059,38.7521235
169,170,"Surprise city, Arizona",Surprise,Arizona,143158,144395,149325,154198,-112.368018,33.6292271
170,171,"Springfield city, Massachusetts",Springfield,Massachusetts,155931,155407,154948,154064,-72.5886727,42.1018764
171,172,"Charleston city, South Carolina",Charleston,South Carolina,150288,150742,151783,153672,-79.9399309,32.7884363
172,173,"Kansas City city, Kansas",Kansas City,Kansas,156606,156287,154789,153345,-94.626497,39.1134562
173,174,"Sunnyvale city, California",Sunnyvale,California,155629,155264,152030,153091,-122.036349,37.3688301
174,175,"Bellevue city, Washington",Bellevue,Washington,151864,151766,149791,152767,-122.192337,47.6144219
175,176,"Hollywood city, Florida",Hollywood,Florida,153036,152792,152427,152650,-80.1494901,26.0112014
176,177,"Denton city, Texas",Denton,Texas,139861,141097,147208,150353,-97.1330516,33.2150386
177,178,"Escondido city, California",Escondido,California,151074,151139,150679,150270,-117.0814849,33.1216751
178,179,"Joliet city, Illinois",Joliet,Illinois,150374,150221,150550,150033,-88.0840212,41.5263603
179,180,"Naperville city, Illinois",Naperville,Illinois,149559,149416,149453,149936,-88.1479278,41.7728699
180,181,"Bridgeport city, Connecticut",Bridgeport,Connecticut,148644,148165,148571,148377,-73.2048348,41.1670412
181,182,"Savannah city, Georgia",Savannah,Georgia,147768,147442,146438,148004,-81.0951271,32.0564572
182,183,"Mesquite city, Texas",Mesquite,Texas,150227,149666,147821,147899,-96.599472,32.7666103
183,184,"Pasadena city, Texas",Pasadena,Texas,151897,151359,148674,147662,-95.2092076,29.6910753
184,185,"Rockford city, Illinois",Rockford,Illinois,148662,148407,147595,146713,-89.093966,42.2713945
185,186,"Pomona city, California",Pomona,California,151445,151033,147125,146017,-117.7517496,34.0553813
186,187,"Jackson city, Mississippi",Jackson,Mississippi,153705,152992,149727,145995,-90.1830408,32.2998686
187,188,"Olathe city, Kansas",Olathe,Kansas,141283,141575,143427,145616,-94.81887,38.8838856
188,189,"Gainesville city, Florida",Gainesville,Florida,141079,142203,143955,145214,-82.3249846,29.6519684
189,190,"McAllen city, Texas",McAllen,Texas,142195,142395,143882,144579,-98.2300605,26.204114
190,191,"Syracuse city, New York",Syracuse,New York,148608,146792,145823,144451,-76.1474244,43.0481221
191,192,"Waco city, Texas",Waco,Texas,140119,140534,142336,143984,-97.1466695,31.549333
192,193,"Visalia city, California",Visalia,California,141574,141859,142795,143966,-119.292058,36.3302284
193,194,"Thornton city, Colorado",Thornton,Colorado,141862,142176,142934,143282,-104.985181,39.8695516
194,195,"Torrance city, California",Torrance,California,147071,146589,143509,141126,-118.3406288,33.8358492
195,196,"Fullerton city, California",Fullerton,California,143638,143419,140559,140541,-117.9294165,33.8708215
196,197,"Columbia city, South Carolina",Columbia,South Carolina,136803,136186,136394,139698,-81.0343313,34.0007493
197,198,"New Haven city, Connecticut",New Haven,Connecticut,134024,133959,138731,138915,-72.9250518,41.3082138
198,199,"Hampton city, Virginia",Hampton,Virginia,137158,137276,137847,138037,-76.3452057,37.0300969
199,200,"Miramar city, Florida",Miramar,Florida,134706,134502,135380,137228,-80.2322706,25.9873137
200,201,"Victorville city, California",Victorville,California,134802,134632,135921,137221,-117.2911565,34.5361067
201,202,"Warren city, Michigan",Warren,Michigan,139398,139101,138272,137107,-83.0062746,42.4932575
202,203,"West Valley City city, Utah",West Valley City,Utah,140239,139967,139065,136650,-111.986821,40.6967254
203,204,"Cedar Rapids city, Iowa",Cedar Rapids,Iowa,137723,137742,136872,136429,-91.6704053,41.9758872
204,205,"Stamford city, Connecticut",Stamford,Connecticut,135451,135548,136688,136188,-73.5387341,41.0534302
205,206,"Orange city, California",Orange,California,139902,139428,137295,136178,-117.850308,33.7872568
206,207,"Dayton city, Ohio",Dayton,Ohio,137624,137484,136837,135944,-84.1916069,39.7589478
207,208,"Midland city, Texas",Midland,Texas,132524,132876,131505,134444,-102.077948,31.9973662
208,209,"Kent city, Washington",Kent,Washington,136609,136580,135182,134392,-122.2270272,47.3826903
209,210,"Elizabeth city, New Jersey",Elizabeth,New Jersey,137310,136651,135543,134283,-74.2107006,40.6639916
210,211,"Pasadena city, California",Pasadena,California,138719,138304,135932,134211,-118.1444779,34.1476452
211,212,"Carrollton city, Texas",Carrollton,Texas,133432,133557,133569,133820,-96.8902816,32.9537349
212,213,"Coral Springs city, Florida",Coral Springs,Florida,134396,134159,133141,133369,-80.2706044,26.271192
213,214,"Sterling Heights city, Michigan",Sterling Heights,Michigan,134334,134112,133344,132567,-83.0302033,42.5803122
214,215,"Fargo city, North Dakota",Fargo,North Dakota,125952,125979,129510,131444,-96.789821,46.877229
215,216,"Lewisville city, Texas",Lewisville,Texas,125688,126428,127214,131215,-96.994174,33.046233
216,217,"Meridian city, Idaho",Meridian,Idaho,117713,119405,125774,129736,-116.392326,43.6086295
217,218,"Norman city, Oklahoma",Norman,Oklahoma,127991,128161,129070,129627,-97.4394816,35.2225717
218,219,"Palm Bay city, Florida",Palm Bay,Florida,119752,120154,122952,129234,-80.6366144,27.9946969
219,220,"Athens-Clarke County unified government (balance), Georgia",Athens,Georgia,127362,127243,127873,128561,-83.376398,33.9597677
220,221,"Columbia city, Missouri",Columbia,Missouri,126233,126486,127550,128555,-92.3337366,38.951883
221,222,"Abilene city, Texas",Abilene,Texas,125178,125404,126160,127385,-99.7475905,32.44645
222,223,"Pearland city, Texas",Pearland,Texas,125815,125989,125926,126949,-95.2864299,29.5639758
223,224,"Santa Clara city, California",Santa Clara,California,127861,127894,127958,126930,-121.955174,37.3541132
224,225,"Round Rock city, Texas",Round Rock,Texas,119501,120531,124041,126697,-97.6788056,30.5085915
225,226,"Topeka city, Kansas",Topeka,Kansas,126601,126419,126124,125449,-95.677556,39.049011
226,227,"Allentown city, Pennsylvania",Allentown,Pennsylvania,125858,125722,125772,125094,-75.4712794,40.6022059
227,228,"Clovis city, California",Clovis,California,120160,120660,123007,124556,-119.7029194,36.8252277
228,229,"Simi Valley city, California",Simi Valley,California,126373,126335,126053,124398,-118.7538071,34.2677404
229,230,"College Station city, Texas",College Station,Texas,120523,120763,122650,124319,-96.3071042,30.5955289
230,231,"Thousand Oaks city, California",Thousand Oaks,California,126968,126770,126001,124265,-118.8375937,34.1705609
231,232,"Vallejo city, California",Vallejo,California,126083,125886,124773,123564,-122.2566367,38.1040864
232,233,"Concord city, California",Concord,California,125411,125256,124337,122625,-122.0335624,37.9768525
233,234,"Rochester city, Minnesota",Rochester,Minnesota,121388,121565,121728,121878,-92.4630182,44.0234387
234,235,"Arvada city, Colorado",Arvada,Colorado,124402,124394,123591,121581,-105.0811573,39.8005505
235,236,"Lafayette city, Louisiana",Lafayette,Louisiana,121398,121445,121486,121389,-92.0298813,30.2043259
236,237,"Independence city, Missouri",Independence,Missouri,123004,122974,122219,121202,-94.4137923,39.0924792
237,238,"West Palm Beach city, Florida",West Palm Beach,Florida,117315,117492,117891,120932,-80.0532942,26.715364
238,239,"Hartford city, Connecticut",Hartford,Connecticut,121018,120638,120867,120686,-72.6908547,41.764582
239,240,"Wilmington city, North Carolina",Wilmington,North Carolina,115456,115756,117792,120324,-77.9447107,34.2257282
240,241,"Lakeland city, Florida",Lakeland,Florida,112640,113894,117258,120071,-81.9498042,28.0394654
241,242,"Billings city, Montana",Billings,Montana,117142,117205,117703,119960,-108.49607,45.7874957
242,243,"Ann Arbor city, Michigan",Ann Arbor,Michigan,123872,123625,119070,119875,-83.7312291,42.2681569
243,244,"Fairfield city, California",Fairfield,California,119872,119874,119835,119338,-122.039966,38.2493581
244,245,"Berkeley city, California",Berkeley,California,124324,124206,114810,118950,-122.272863,37.8708393
245,246,"Richardson city, Texas",Richardson,Texas,119464,119323,118149,118802,-96.7297206,32.9481789
246,247,"North Charleston city, South Carolina",North Charleston,South Carolina,114839,115563,117586,118608,-79.9748103,32.8546197
247,248,"Cambridge city, Massachusetts",Cambridge,Massachusetts,118395,118349,118082,118488,-71.1056157,42.3750997
248,249,"Broken Arrow city, Oklahoma",Broken Arrow,Oklahoma,113556,113922,116356,117911,-95.7908195,36.0525993
249,250,"Clearwater city, Florida",Clearwater,Florida,117387,117284,117093,117027,-82.8001026,27.9658533
250,251,"West Jordan city, Utah",West Jordan,Utah,116962,117024,116544,116664,-111.9395211,40.6061337
251,252,"Evansville city, Indiana",Evansville,Indiana,117291,117364,116670,115749,-87.5715641,37.970495
252,253,"League City city, Texas",League City,Texas,114377,114679,115611,115418,-95.0949303,29.5074538
253,254,"Antioch city, California",Antioch,California,115305,115251,114964,115264,-121.805789,38.0049214
254,255,"Manchester city, New Hampshire",Manchester,New Hampshire,115653,115499,115173,115141,-71.4547891,42.9956397
255,256,"High Point city, North Carolina",High Point,North Carolina,114117,114225,114676,115067,-80.0053176,35.9556924
256,257,"Waterbury city, Connecticut",Waterbury,Connecticut,114455,114293,114998,115016,-73.0438362,41.5538091
257,258,"Westminster city, Colorado",Westminster,Colorado,116315,116302,114798,114533,-105.0372046,39.8366528
258,259,"Richmond city, California",Richmond,California,116432,116367,115731,114301,-122.347748,37.9357576
259,260,"Carlsbad city, California",Carlsbad,California,114735,114896,115224,114160,-117.3505966,33.1580933
260,261,"Las Cruces city, New Mexico",Las Cruces,New Mexico,111392,111699,112853,113888,-106.779807,32.3140354
261,262,"Murrieta city, California",Murrieta,California,110953,111318,113006,113783,-117.2106564,33.560832
262,263,"Lowell city, Massachusetts",Lowell,Massachusetts,115550,115366,114288,113608,-71.3085329,42.6414437
263,264,"Provo city, Utah",Provo,Utah,115173,115102,114903,113523,-111.6587085,40.2337289
264,265,"Springfield city, Illinois",Springfield,Illinois,114414,114264,113742,113273,-89.6439575,39.7990175
265,266,"Elgin city, Illinois",Elgin,Illinois,114798,114604,114031,113177,-88.2810994,42.03726
266,267,"Odessa city, Texas",Odessa,Texas,114452,114926,112191,112906,-102.367687,31.8457149
267,268,"Lansing city, Michigan",Lansing,Michigan,112657,112554,112549,112537,-84.5553805,42.7337712
268,269,"Pompano Beach city, Florida",Pompano Beach,Florida,112056,111954,111516,112302,-80.1247667,26.2378597
269,270,"Beaumont city, Texas",Beaumont,Texas,115268,114980,113638,112089,-94.1018461,30.0860459
270,271,"Temecula city, California",Temecula,California,109994,110013,110810,111752,-117.1473661,33.4946353
